name,address,latitude,longitude,price,google_maps_url,types
Boston University Fitness and Recreation Center,"915 Commonwealth Ave, Boston, MA 02215, USA",42.3514719,-71.1163957,University,https://maps.google.com/?cid=12629190392587006005&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, yoga_studio, fitness_center, swimming_pool, sports_school, sports_complex, sports_activity_location, wellness_center, health, point_of_interest, establishment"
Boston Yoga Union - Back Bay,"364 Boylston St 2nd Floor, Boston, MA 02116, USA",42.3514404,-71.0715513,$159,https://maps.google.com/?cid=9446038320605009655&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, clothing_store, sports_activity_location, health, store, point_of_interest, establishment"
New York Sports Club,"505 Boylston St, Boston, MA 02116, USA",42.350994,-71.0747473,$75,https://maps.google.com/?cid=4304896434918733114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, health, sports_activity_location, point_of_interest, establishment"
Oak Square YMCA,"615 Washington St, Brighton, MA 02135, USA",42.3508836,-71.1671344,community center,https://maps.google.com/?cid=1977118494854062181&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, non_profit_organization, swimming_pool, sports_activity_location, association_or_organization, point_of_interest, health, service, establishment"
GymIt,"920 Commonwealth Ave, Brookline, MA 02446, USA",42.350867,-71.1170696,$36,https://maps.google.com/?cid=2961743452570463919&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_activity_location, health, service, point_of_interest, establishment"
Lynx Fitness Club,"64 Arlington St, Boston, MA 02116, USA",42.3508485,-71.069876,$189,https://maps.google.com/?cid=8249060269451288525&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_club, association_or_organization, sports_activity_location, point_of_interest, service, health, establishment"
Orangetheory Fitness,"10 St James Ave, Boston, MA 02116, USA",42.3506393,-71.0707397,$189,https://maps.google.com/?cid=18050601809747433643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, health, sports_activity_location, point_of_interest, service, establishment"
Orangetheory Fitness,"375 Market St, Boston, MA 02135, USA",42.350501,-71.1528788,$189,https://maps.google.com/?cid=13111993889652325524&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, service, point_of_interest, establishment"
Fichera Fitness,"17 Henshaw St, Brighton, MA 02135, USA",42.3499046,-71.1501569,personal,https://maps.google.com/?cid=17239339708824942667&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_activity_location, health, sports_club, association_or_organization, service, point_of_interest, establishment"
Backyard Boston,"5 Necco St, Boston, MA 02210, USA",42.3493443,-71.0510203,$149,https://maps.google.com/?cid=2377631900239953705&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, health, point_of_interest, establishment"
